video_id,title,show_name,file_source,original_date,manual_year,manual_month,manual_day,manual_notes,original_year,original_month,original_day
a0B8WsjvgVw,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-09T10:25:32Z,NA,NA,NA,NA,2024,4,9
rSjL4wDdnLA,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-05T10:19:00Z,NA,NA,NA,NA,2024,4,5
dPUHv71JB1w,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-04-04T10:30:35Z,NA,NA,NA,NA,2024,4,4
PUUBHYl2UrI,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-03-19T15:20:59Z,NA,NA,NA,NA,2024,3,19
62YhY3GG6O8,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2024-03-08T11:03:34Z,NA,NA,NA,NA,2024,3,8
yUodX1xWOWM,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2023-11-08T13:31:08Z,NA,NA,NA,NA,2023,11,8
ztQt7YZQeRA,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2023-11-02T10:00:44Z,NA,NA,NA,NA,2023,11,2
O4HwNOTvDws,Private video,Bloomberg_Brief,Bloomberg_Brief.csv,2023-10-04T10:20:53Z,NA,NA,NA,NA,2023,10,4
mPeEQ0gebps,Private video,Bloomberg_Daybreak_Europe,Bloomberg_Daybreak_Europe.csv,2024-12-03T09:40:44Z,NA,NA,NA,NA,2024,12,3
tkGON9ZVvDU,Private video,Bloomberg_Daybreak_Europe,Bloomberg_Daybreak_Europe.csv,2024-11-15T08:22:20Z,NA,NA,NA,NA,2024,11,15
NDhMnX6Zzc8,Private video,Bloomberg_Daybreak_Europe,Bloomberg_Daybreak_Europe.csv,2024-10-30T08:43:41Z,NA,NA,NA,NA,2024,10,30
IOd1cl8FLng,Private video,Bloomberg_Daybreak_Europe,Bloomberg_Daybreak_Europe.csv,2024-10-30T08:14:43Z,NA,NA,NA,NA,2024,10,30
