date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2022-10-06,1,-0.628472222222222,NA,NA,NA,-0.628472222222222,NA,29969,133,-0.628472222222222,-0.628472222222222,-0.628472222222222,-0.628472222222222,NA,NA
2022-10-07,1,-0.565217391304348,NA,NA,NA,-0.565217391304348,NA,37976,135,-0.565217391304348,-0.565217391304348,-0.565217391304348,-0.565217391304348,NA,NA
2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10,1,-0.675675675675676,NA,NA,NA,-0.675675675675676,NA,33664,157,-0.675675675675676,-0.675675675675676,-0.675675675675676,-0.675675675675676,NA,NA
2022-10-11,1,-0.476014760147601,NA,NA,NA,-0.476014760147601,NA,27410,128,-0.476014760147601,-0.47601476014760097,-0.4760147601476011,-0.476014760147601,NA,NA
2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-13,1,-0.550949913644214,NA,NA,NA,-0.550949913644214,NA,50282,149,-0.550949913644214,-0.550949913644214,-0.550949913644214,-0.550949913644214,NA,NA
2022-10-14,1,-0.543650793650794,NA,NA,NA,-0.543650793650794,NA,31116,122,-0.543650793650794,-0.543650793650794,-0.543650793650794,-0.543650793650794,NA,NA
2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18,1,-0.518072289156627,NA,NA,NA,-0.518072289156627,NA,63063,178,-0.518072289156627,-0.518072289156627,-0.518072289156627,-0.518072289156627,NA,NA
2022-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-20,2,-0.424652699797876,NA,NA,NA,-0.424652699797876,0.18226108890412643,57582,234,-0.4502337757938587,-0.4306815349769336,-0.43683324432571846,-0.4357983710562968,NA,NA
2022-10-20,2,-0.424652699797876,NA,NA,NA,-0.424652699797876,0.18226108890412643,57582,234,-0.4502337757938587,-0.4306815349769336,-0.43683324432571846,-0.4357983710562968,NA,NA
2022-10-21,1,-0.522088353413655,NA,NA,NA,-0.522088353413655,NA,41400,191,-0.522088353413655,-0.522088353413655,-0.522088353413655,-0.522088353413655,NA,NA
2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-25,1,-0.538205980066445,NA,NA,NA,-0.538205980066445,NA,35868,149,-0.538205980066445,-0.538205980066445,-0.538205980066445,-0.538205980066445,NA,NA
